flux,wavelength,var
6.352265,4020.8777,0.7403421
9.372223,4021.8022,0.6752681
7.5594473,4022.7297,0.707611
7.0286217,4023.6553,0.6789175
8.882923,4024.583,0.59911686
7.691639,4025.5088,0.56928504
6.3360496,4026.4353,0.58743405
9.34743,4027.3635,0.53972864
9.574239,4028.29,0.5308991
7.667621,4029.2188,0.5611607
7.0190444,4030.1458,0.58888704
8.762202,4031.075,0.5497883
7.5060616,4032.0024,0.58326375
8.118055,4032.9302,0.550249
8.480978,4033.8599,0.5282538
7.0561643,4034.788,0.5309975
6.4889565,4035.7183,0.5378029
7.45563,4036.6467,0.5216637
8.701216,4037.5776,0.5234552
9.269466,4038.5063,0.5375809
5.7745204,4039.4358,0.6420905
5.4762745,4040.3672,0.63322365
9.796745,4041.2964,0.55503786
8.198772,4042.2283,0.58116394
10.096196,4043.1584,0.56429785
8.103465,4044.0908,0.63416296
5.4609847,4045.021,0.75112635
6.131448,4045.9539,0.7336369
7.439356,4046.8845,0.7107953
7.651521,4047.8157,0.6837108
7.7454114,4048.7488,0.70185125
7.62288,4049.6804,0.60903645
8.783078,4050.6143,0.51652855
8.553496,4051.5461,0.4574376
8.171243,4052.4805,0.45838773
7.702709,4053.4128,0.51186216
10.978981,4054.3452,0.57238233
8.971407,4055.2798,0.5996566
9.517064,4056.2126,0.5846136
8.263707,4057.1484,0.3992851
7.6527414,4058.0818,0.38986385
10.603076,4059.0173,0.4689302
10.538625,4059.9512,0.49243614
7.6299996,4060.8853,0.56493735
7.0050836,4061.8218,0.6283766
8.490783,4062.756,0.62945616
7.7339883,4063.693,0.6100262
6.336458,4064.6277,0.48641878
8.062227,4065.5652,0.31230438
9.938843,4066.5002,0.24886909
9.726645,4067.4358,0.2978362
9.50911,4068.3738,0.39096823
8.102508,4069.3098,0.48072404
7.3116145,4070.248,0.5432139
7.3889675,4071.1843,0.57224196
6.4986,4072.123,0.606186
9.615684,4073.06,0.5074889
7.2458034,4073.9968,0.5432816
8.602069,4074.9368,0.5080006
8.606141,4075.874,0.5236498
5.2399173,4076.8137,0.6975185
4.3498583,4077.7517,0.754408
7.6043224,4078.692,0.69810665
7.6489725,4079.6301,0.6927198
7.9744453,4080.5688,0.6598229
9.239093,4081.5095,0.587944
8.375659,4082.4487,0.5394394
7.723639,4083.39,0.5325529
7.783274,4084.3296,0.5269593
7.1516933,4085.271,0.61355186
9.330584,4086.2112,0.6699542
6.090163,4087.151,0.7879936
7.0208335,4088.0938,0.7176261
9.931586,4089.034,0.6073387
8.611271,4089.9768,0.5695113
8.208949,4090.918,0.5611319
8.933359,4091.8613,0.5338892
10.636831,4092.8025,0.5242097
9.750056,4093.744,0.54324937
5.7714977,4094.6882,0.62545174
6.1017385,4095.6301,0.60733
8.242956,4096.574,0.60984683
8.091024,4097.5166,0.6824108
8.778774,4098.462,0.70996106
7.813515,4099.405,0.7181713
7.457371,4100.3477,0.6377769
6.8915834,4101.2935,0.5612965
6.699719,4102.237,0.5182435
7.6449504,4103.1826,0.5414435
6.791477,4104.1265,0.6582241
7.3332586,4105.073,0.729699
9.267216,4106.0176,0.73259807
7.502862,4106.962,0.77868944
5.672101,4107.909,0.81163454
6.100857,4108.8545,0.7974746
6.142117,4109.802,0.78577924
8.827811,4110.747,0.70722127
9.476701,4111.695,0.6531079
8.422492,4112.641,0.66864926
9.882525,4113.587,0.66388667
6.3977475,4114.5356,0.7695183
7.113344,4115.4824,0.7635287
9.783616,4116.431,0.7104338
9.564564,4117.378,0.6603857
8.428501,4118.327,0.6603139
8.706173,4119.275,0.7072001
9.096562,4120.225,0.73921573
6.0695004,4121.173,0.7514375
8.140499,4122.1206,0.70371664
7.8820534,4123.0713,0.73118895
7.867214,4124.02,0.70693135
7.3987846,4124.9707,0.71419173
9.270858,4125.92,0.68389547
9.307377,4126.871,0.6723299
8.893425,4127.8203,0.6738483
9.857511,4128.77,0.6194766
9.489351,4129.722,0.5903191
7.2330875,4130.6724,0.60589993
6.173157,4131.625,0.60593885
7.0782275,4132.5757,0.5867655
7.970084,4133.5283,0.59002614
6.034569,4134.479,0.6502923
7.5658326,4135.43,0.68872976
6.6418867,4136.384,0.743145
10.558895,4137.3354,0.6979417
7.8182435,4138.2896,0.8274008
8.845396,4139.2417,0.7642489
8.970363,4140.1963,0.73157054
9.144195,4141.1484,0.70647997
8.792798,4142.1016,0.698431
6.8906355,4143.056,0.7146589
7.9070535,4144.0093,0.69488144
9.1447935,4144.9653,0.68917423
6.4396324,4145.9185,0.7520189
7.4545436,4146.8745,0.7312421
8.281567,4147.8286,0.6838867
7.079016,4148.7827,0.70261735
6.732819,4149.7397,0.7333439
9.001478,4150.694,0.7740735
9.266442,4151.6514,0.7744904
7.8855114,4152.6064,0.824293
8.383844,4153.564,0.77480406
7.322154,4154.5195,0.7203862
7.0078883,4155.4756,0.61305404
8.811607,4156.4336,0.5776253
6.7911263,4157.3896,0.64929444
6.6906233,4158.348,0.6970696
8.3883295,4159.3047,0.7103615
7.242056,4160.264,0.79769796
9.230176,4161.221,0.74132437
9.711962,4162.1787,0.7343365
10.194116,4163.138,0.745551
6.8853564,4164.0957,0.8780508
8.699257,4165.056,0.82741624
8.486507,4166.014,0.77689147
8.309187,4166.975,0.7564792
9.101256,4167.9336,0.7263596
7.349268,4168.892,0.77698016
5.885062,4169.854,0.8495454
6.4075565,4170.813,0.88389057
6.461483,4171.775,0.8889662
9.158886,4172.7344,0.7692083
7.8090434,4173.697,0.8014366
5.5651417,4174.657,0.8283109
8.968526,4175.617,0.7298049
7.0646257,4176.58,0.78116894
5.9538574,4177.541,0.8092823
5.7023296,4178.5044,0.8710931
6.407308,4179.466,0.9070878
7.084506,4180.429,0.8973845
8.639115,4181.391,0.8533099
9.422266,4182.353,0.83573544
6.7010937,4183.3174,0.9449795
5.4374633,4184.2803,0.927423
6.9390635,4185.2446,0.82557243
8.120398,4186.2075,0.74793416
7.727013,4187.173,0.77454525
7.0249662,4188.136,0.8082582
8.369046,4189.0996,0.7784303
8.5716305,4190.0654,0.74653995
8.527619,4191.03,0.7451396
8.383204,4191.9956,0.73130465
7.7729473,4192.96,0.76912576
8.369712,4193.9272,0.7870316
8.006104,4194.892,0.87359375
6.4725094,4195.8594,0.93673915
7.559216,4196.8247,0.894802
9.245235,4197.79,0.8348301
8.390332,4198.7583,0.83128923
8.791547,4199.7236,0.8204075
7.089217,4200.6924,0.842492
7.055636,4201.6587,0.7855923
6.329231,4202.628,0.62119573
8.767237,4203.594,0.59065014
7.669001,4204.5615,0.76440746
8.527124,4205.5312,0.77382344
7.7664285,4206.4985,0.83477765
7.311743,4207.4688,0.87978506
7.4461746,4208.4365,0.8848208
8.026081,4209.4067,0.88514835
9.047905,4210.3755,0.8914506
7.2902718,4211.3438,0.8399761
8.73002,4212.315,0.7448836
9.989647,4213.284,0.6768414
5.9944935,4214.256,0.77844197
9.28997,4215.225,0.7077819
6.8897767,4216.1973,0.8218986
10.235476,4217.167,0.80492634
8.462401,4218.137,0.79813284
6.773777,4219.11,0.75521284
8.780141,4220.0806,0.6311175
9.019132,4221.0537,0.6302529
8.500532,4222.025,0.64172894
9.476308,4222.998,0.70222926
9.090246,4223.9697,0.7757036
7.6508512,4224.9414,0.8577876
7.6619525,4225.9155,0.8394409
7.767749,4226.8877,0.87851775
6.2098937,4227.8623,0.92171824
7.52144,4228.8354,0.7917666
6.8390036,4229.81,0.79595166
7.7678356,4230.7837,0.79111075
6.3397775,4231.757,0.8451392
7.7546124,4232.733,0.749599
7.8865314,4233.706,0.7577523
7.5650578,4234.6826,0.8069403
9.164601,4235.6567,0.8278353
8.1788845,4236.634,0.86275715
6.7267222,4237.608,0.8553698
8.181818,4238.583,0.7597866
7.798644,4239.56,0.7277101
8.207698,4240.536,0.7463375
10.243813,4241.5137,0.73080343
8.895603,4242.4893,0.7709933
9.639412,4243.468,0.7375072
10.03738,4244.444,0.76266766
9.495755,4245.4204,0.7561871
10.134595,4246.3994,0.77730983
8.072114,4247.3765,0.8731647
9.277477,4248.3555,0.83637404
8.492141,4249.333,0.853963
7.9620633,4250.313,0.9154304
8.651936,4251.2905,0.9140235
8.756805,4252.269,0.9281707
9.223142,4253.249,0.88888747
8.309441,4254.2275,0.90119344
7.230169,4255.2085,0.90159774
9.300753,4256.1875,0.75321984
10.363358,4257.169,0.69512737
8.049498,4258.1484,0.79603654
9.441714,4259.128,0.8640506
7.97367,4260.1104,0.86858267
6.9562764,4261.09,0.8966835
9.123507,4262.0728,0.8118742
8.187216,4263.053,0.8324595
