flux,wavelength,var
41.533127,3877.0134,0.122447245
43.581898,3877.9075,0.12124253
40.282223,3878.7996,0.12644784
39.12456,3879.694,0.13114262
37.560886,3880.5867,0.13249737
38.873795,3881.4814,0.12920217
39.27858,3882.3743,0.1290018
38.635067,3883.2673,0.13013335
37.843456,3884.163,0.13188308
34.688583,3885.0566,0.096058376
31.695349,3885.9524,0.10744188
34.38665,3886.8464,0.13408524
33.01655,3887.7427,0.14905351
42.337353,3888.637,0.1290978
44.40878,3889.5315,0.12581761
43.703133,3890.4285,0.12745047
37.95185,3891.3235,0.13857414
34.0672,3892.2207,0.15304618
33.934402,3893.1162,0.15244155
37.278885,3894.014,0.14519925
39.885582,3894.91,0.13916528
34.397877,3895.8057,0.14566134
39.88198,3896.704,0.13258088
36.595352,3897.6006,0.13362943
36.774338,3898.4995,0.134966
37.525608,3899.3962,0.1360808
38.958084,3900.2954,0.14069273
40.514805,3901.1926,0.14100182
41.80333,3902.0903,0.13929263
42.690277,3902.99,0.13780348
43.0288,3903.8877,0.13789448
43.442173,3904.788,0.1361906
41.07686,3905.6863,0.14237607
32.913296,3906.587,0.16027799
42.151833,3907.4856,0.14379211
43.91892,3908.3845,0.13852344
49.180447,3909.286,0.13130684
48.516518,3910.185,0.13315146
45.05901,3911.0867,0.13491406
46.61391,3911.9868,0.1321071
47.173626,3912.8887,0.1300579
44.15612,3913.7888,0.1377392
46.37147,3914.6892,0.13050163
46.471928,3915.592,0.12945035
44.285347,3916.4927,0.12495205
38.440468,3917.3958,0.13399374
39.409893,3918.2969,0.13587725
41.847458,3919.2004,0.13933505
41.93468,3920.102,0.1426242
41.56867,3921.004,0.14308742
44.076817,3921.9082,0.13985969
47.161007,3922.8103,0.13312675
43.293327,3923.715,0.13142002
43.678066,3924.6177,0.1295175
42.629944,3925.5227,0.13201255
43.489887,3926.4258,0.13811874
37.89858,3927.329,0.14261469
42.540085,3928.2346,0.13161065
40.908382,3929.1382,0.12840796
38.28796,3930.0444,0.13464446
38.386528,3930.9485,0.13936096
34.99378,3931.8547,0.1518684
35.20783,3932.7595,0.16392137
30.02425,3933.6643,0.1830086
24.187042,3934.571,0.19971639
36.195004,3935.4763,0.17038164
32.2279,3936.384,0.17141467
35.48821,3937.2893,0.15645808
39.94043,3938.1975,0.14454876
41.105755,3939.1035,0.1444748
40.682827,3940.0117,0.14956304
40.234955,3940.9182,0.15639757
42.644753,3941.8247,0.15398541
44.076935,3942.734,0.15001732
39.63772,3943.6406,0.15603627
41.107826,3944.5503,0.15123059
41.44079,3945.4575,0.1456306
48.324238,3946.3672,0.13225576
46.605167,3947.2754,0.13152872
43.395992,3948.1833,0.132846
44.404945,3949.0938,0.13291983
46.43234,3950.0022,0.13222535
47.441494,3950.913,0.1336927
44.12889,3951.822,0.14082049
39.22918,3952.7334,0.13307227
36.727627,3953.6426,0.1136485
45.96462,3954.552,0.09855169
39.784904,3955.4639,0.113272704
39.14599,3956.374,0.12808116
38.846153,3957.2864,0.13723281
39.371647,3958.1968,0.14143768
39.81481,3959.1094,0.14522561
39.571594,3960.0203,0.1518809
41.682407,3960.9312,0.14854689
35.850143,3961.8445,0.1655168
37.45222,3962.756,0.16875418
36.796432,3963.6697,0.1688018
34.032757,3964.5818,0.17290391
31.683372,3965.4958,0.17294666
27.062614,3966.408,0.17713593
30.441145,3967.3206,0.17836633
28.072956,3968.2354,0.19115877
24.5614,3969.1482,0.20730692
36.748856,3970.0637,0.17202024
39.526527,3970.977,0.15756828
39.566414,3971.8926,0.15075384
27.81579,3972.8064,0.17473365
25.420202,3973.7205,0.17894892
26.218418,3974.6365,0.1743121
31.622864,3975.551,0.16257086
32.055515,3976.4678,0.15853524
32.729332,3977.3826,0.15497
34.825516,3978.2996,0.14861405
37.482162,3979.2148,0.15230916
42.474228,3980.1304,0.15214469
41.229626,3981.048,0.16338535
40.58487,3981.964,0.16029552
37.5413,3982.882,0.16105847
40.721684,3983.7983,0.14885148
40.976204,3984.717,0.1508964
41.250584,3985.6338,0.15772252
39.877773,3986.5508,0.16430154
40.266804,3987.47,0.16249758
47.050102,3988.3875,0.14785865
48.31523,3989.307,0.14175382
39.823742,3990.2249,0.15172085
45.709503,3991.145,0.13593395
42.210148,3992.063,0.14333686
47.796005,3992.9814,0.13715124
44.86639,3993.902,0.14395921
46.640076,3994.821,0.1402363
45.772057,3995.7422,0.14017661
45.045788,3996.6614,0.14027405
46.314514,3997.583,0.14511722
46.907394,3998.5027,0.1509957
46.79279,3999.4226,0.15880226
45.723324,4000.3447,0.1615447
47.620995,4001.265,0.15901533
45.9942,4002.1877,0.16229637
44.86166,4003.1086,0.16418913
42.669586,4004.0317,0.16818988
44.24835,4004.953,0.16712606
44.344852,4005.874,0.16428933
43.732273,4006.7976,0.15747823
44.56313,4007.7192,0.15307099
45.11929,4008.6438,0.14884567
45.781826,4009.566,0.14975666
48.419754,4010.4905,0.14789224
48.957264,4011.413,0.14778882
45.351578,4012.3381,0.15395913
46.98562,4013.2612,0.1518139
43.719883,4014.1843,0.16410084
46.304585,4015.1099,0.16469768
43.740967,4016.034,0.17198154
43.73226,4016.9597,0.16925819
50.295586,4017.8838,0.15484153
52.125404,4018.8103,0.14655213
47.470478,4019.7349,0.15336503
44.418167,4020.66,0.15484399
50.059902,4021.5867,0.14554006
49.227055,4022.5117,0.15617368
46.22761,4023.4397,0.1694686
40.383965,4024.365,0.18358922
45.85814,4025.293,0.17574519
45.419086,4026.219,0.17485802
42.596794,4027.1453,0.17536248
46.956665,4028.0742,0.16220169
50.212013,4029.0007,0.15249462
45.92185,4029.93,0.15998474
45.630077,4030.857,0.16355741
49.16693,4031.7861,0.15519996
42.193188,4032.714,0.17060637
42.46287,4033.6414,0.16257511
45.324684,4034.5718,0.16157845
44.111774,4035.5,0.1671392
45.773098,4036.4302,0.16921267
47.496204,4037.3591,0.17222954
45.611774,4038.2898,0.17244986
45.06014,4039.2192,0.17575456
